Date,Open,High,Low,Close,Volume
04/21/2021,"3,316.00","3,362.86","3,303.81","3,362.02","2,211,166"
04/20/2021,"3,373.60","3,382.99","3,316.00","3,334.69","2,623,032"
04/19/2021,"3,390.33","3,435.93","3,360.16","3,372.01","2,725,405"
04/16/2021,"3,380.00","3,406.80","3,355.59","3,399.44","3,186,049"
04/15/2021,"3,371.00","3,397.00","3,352.00","3,379.09","3,233,580"
04/14/2021,"3,404.04","3,404.13","3,326.00","3,333.00","3,145,204"
04/13/2021,"3,400.85","3,432.00","3,395.63","3,400.00","3,315,837"
04/12/2021,"3,355.21","3,395.04","3,351.15","3,379.39","3,281,798"
04/09/2021,"3,304.70","3,372.20","3,288.90","3,372.20","4,341,473"
04/08/2021,"3,310.90","3,324.50","3,292.00","3,299.30","2,812,090"
04/07/2021,"3,233.80","3,303.61","3,223.65","3,279.39","3,346,227"
04/06/2021,"3,223.75","3,247.31","3,217.04","3,223.82","2,537,809"
04/05/2021,"3,173.00","3,235.96","3,161.24","3,226.73","3,334,882"
04/01/2021,"3,117.94","3,162.44","3,115.55","3,161.00","2,940,318"
03/31/2021,"3,064.06","3,119.33","3,062.50","3,094.08","3,093,896"
03/30/2021,"3,070.01","3,073.00","3,034.00","3,055.29","2,337,603"
03/29/2021,"3,055.44","3,091.25","3,028.45","3,075.73","2,745,968"
03/26/2021,"3,044.06","3,056.66","2,996.00","3,052.03","3,312,924"
03/25/2021,"3,072.99","3,109.78","3,037.14","3,046.26","3,563,469"
03/24/2021,"3,151.04","3,160.31","3,085.15","3,087.07","2,958,981"
03/23/2021,"3,127.00","3,182.00","3,120.85","3,137.50","3,817,263"
03/22/2021,"3,067.85","3,126.58","3,060.05","3,110.87","2,902,179"
03/19/2021,"3,029.23","3,077.29","3,016.63","3,074.96","4,625,354"
03/18/2021,"3,101.00","3,116.63","3,025.00","3,027.99","3,657,027"
03/17/2021,"3,073.22","3,173.05","3,070.22","3,135.73","3,118,584"
03/16/2021,"3,104.97","3,128.91","3,075.86","3,091.86","2,538,764"
03/15/2021,"3,074.57","3,082.24","3,032.09","3,081.68","2,918,592"
03/12/2021,"3,075.00","3,098.98","3,045.50","3,089.49","2,421,888"
03/11/2021,"3,104.01","3,131.78","3,082.93","3,113.59","2,776,391"
03/10/2021,"3,098.45","3,116.46","3,030.05","3,057.64","3,012,489"
03/09/2021,"3,017.99","3,090.96","3,005.15","3,062.85","4,030,032"
03/08/2021,"3,015.00","3,064.59","2,951.31","2,951.95","4,185,008"
03/05/2021,"3,005.00","3,009.00","2,881.00","3,000.46","5,388,551"
03/04/2021,"3,012.00","3,058.13","2,945.43","2,977.57","5,481,578"
03/03/2021,"3,081.18","3,107.78","2,995.00","3,005.00","3,988,725"
03/02/2021,"3,143.47","3,163.52","3,087.12","3,094.53","2,595,762"
03/01/2021,"3,127.89","3,149.56","3,097.99","3,146.14","2,733,963"
02/26/2021,"3,095.20","3,122.44","3,036.70","3,092.93","4,275,930"
02/25/2021,"3,136.74","3,178.26","3,047.76","3,057.16","4,533,801"
02/24/2021,"3,166.75","3,171.23","3,125.38","3,159.53","3,011,275"
02/23/2021,"3,127.03","3,204.73","3,093.60","3,194.50","4,677,222"
02/22/2021,"3,208.13","3,232.32","3,172.26","3,180.74","3,515,679"
02/19/2021,"3,328.23","3,333.50","3,245.75","3,249.90","4,305,184"
02/18/2021,"3,282.42","3,338.00","3,273.94","3,328.23","3,033,607"
02/17/2021,"3,263.60","3,320.91","3,259.50","3,308.64","3,302,099"
02/16/2021,"3,254.05","3,308.30","3,253.59","3,268.95","2,574,721"
02/12/2021,"3,250.00","3,280.25","3,233.31","3,277.71","2,335,339"
02/11/2021,"3,292.00","3,292.00","3,248.06","3,262.13","2,301,417"
02/10/2021,"3,314.00","3,317.96","3,254.00","3,286.58","3,151,550"
02/09/2021,"3,312.49","3,338.00","3,297.84","3,305.00","2,203,526"
